ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	CONCEPT_ID	COGID	ROOTID	ALIGNMENT
56737	Swedish	August	augusti	ɑːɵɡɵstɪ	ɑː ɵ g ɵ s t ɪ		Germanic	469_august	10290	22	ɑː ɵ g ɵ s t ɪ -
57869	Danish	August	august	ɑʊ̯ˈɡosd	ɑ ʊ g o s d		Germanic	469_august	10290	22	ɑ ʊ g o s d - -
58937	German	August	August	aʊ̯ɡʊst	a ʊ g ʊ s t		Germanic	469_august	10290	22	a ʊ g ʊ s t - -
60016	Dutch	August	augustus	au̯ɣʏstʏs	a u ɣ ʏ s t ʏ s		Germanic	469_august	10290	22	a u ɣ ʏ s t ʏ s
61139	English	August	August	ˈɔːɡəst	ɔː g ə s t		Germanic	469_august	10290	22	ɔː - g ə s t - -
62262	Irish	August	Lúnasa	l̪ˠuːn̪ˠəsˠə	l̪ˠ uː n̪ˠ ə sˠ ə		Celtic	469_august	8004	32	l̪ˠ uː n̪ˠ ə sˠ ə
63501	Welsh	August	Awst	a͡ʊst	aʊ s t		Celtic	469_august	7030	21	aʊ s t
64618	Breton	August	Eost	eːst	eː s t		Celtic	469_august	7030	21	eː s t
65677	Latin	August	Augustus	aʊ̯ɡʷstʊs	a ʊ gʷ s t ʊ s		Italic	469_august	14149	22	a ʊ gʷ - s t ʊ s
66832	French	August	août	ut	u t		Italic	469_august	13995	21	u t
68022	Catalan	August	agost	əɣɔs	ə ɣ ɔ s		Italic	469_august	14149	22	ə - ɣ ɔ s - - -
69162	Spanish	August	agosto	aɣosto	a ɣ o s t o		Italic	469_august	14149	22	a - ɣ o s t o -
70402	Portuguese	August	Agosto	ɐˈɣɔʃtu	ɐ ɣ ɔ ʃ t u		Italic	469_august	14149	22	ɐ - ɣ ɔ ʃ t u -
71648	Italian	August	agosto	aɡosto	a g o s t o		Italic	469_august	14149	22	a - g o s t o -
72929	Romanian	August	august	awɡust	a w g u s t		Italic	469_august	14149	22	a w g u s t - -
41652	Bulgarian	December	декември	dɛkɛmvri	d ɛ k ɛ m v r i		Balto-Slavic	473_december	4902	55	d ɛ k ɛ m v - r i -
42884	Croatian	December	prosinac	prɔ̌sinat͡s	p r ɔ s i n a ts		Balto-Slavic	473_december	4859	53	p r ɔ s i n a ts
44092	Slovene	December	decémber	dɛt͡sɛ˨ːmbɛr	d ɛ ts ɛː ² m b ɛ r		Balto-Slavic	473_december	5288	72	d ɛ ts ɛː ² m b ɛ r
45233	Slovak	December	december	dɛt͡sɛmbɛr	d ɛ ts ɛ m b ɛ r		Balto-Slavic	473_december	4902	55	d ɛ ts ɛ m b ɛ r - -
46416	Czech	December	prosinec	prosɪnɛt͡s	p r o s ɪ n ɛ ts		Balto-Slavic	473_december	4859	53	p r o s ɪ n ɛ ts
47543	Polish	December	grudzień	ɡɾud͡ʑɛɲ	g ɾ u dʑ ɛ ɲ		Balto-Slavic	473_december	5172	67	g ɾ u dʑ ɛ ɲ
48643	Ukrainian	December	грудень	ɦrudɛnʲ	ɦ r u d ɛ nʲ		Balto-Slavic	473_december	5172	67	ɦ r u d ɛ nʲ
49732	Belarusian	December	снежань	snʲɛʐanʲ	s nʲ ɛ ʐ a nʲ		Balto-Slavic	473_december	4769	49	s nʲ ɛ ʐ a nʲ
50789	Russian	December	декабрь	dʲɪkaˑbrʲ	dʲ ɪ k aˑ b rʲ		Balto-Slavic	473_december	4902	55	dʲ ɪ k aˑ - b - rʲ - -
51899	Lithuanian	December	gruodis	ɡrûədʲɪs	g r u ə dʲ ɪ s		Balto-Slavic	473_december	5138	65	g r u ə dʲ ɪ s
53196	Latvian	December	decembris	dɛt͡sɛmbris	d ɛ ts ɛ m b r i s		Balto-Slavic	473_december	4902	55	d ɛ ts ɛ m b - r i s
54449	Icelandic	December	desember	tɛsɛmpɛr̥	t ɛ s ɛ m p ɛ r̥		Germanic	473_december	11662	55	t ɛ s ɛ m p ɛ r̥
55604	Norwegian (Bokmål)	December	desember	deːˈsɛmbər	d eː s ɛ m b ə r		Germanic	473_december	11662	55	d eː s ɛ m b ə r
56741	Swedish	December	december	deːsɛmbər	d eː s ɛ m b ə r		Germanic	473_december	11662	55	d eː s ɛ m b ə r
57873	Danish	December	december	deˈsɛmˀbəʁ	d e s ɛ mˀ b ə ʁ		Germanic	473_december	11662	55	d e s ɛ mˀ b ə ʁ
58941	German	December	Dezember	deːt͡sɛmbɐ	d eː ts ɛ m b ɐ		Germanic	473_december	11662	55	d eː ts ɛ m b ɐ -
60020	Dutch	December	december	deˑˈsɛmbər	d eˑ s ɛ m b ə r		Germanic	473_december	11662	55	d eˑ s ɛ m b ə r
61143	English	December	December	dɪˈsembə	d ɪ s e m b ə		Germanic	473_december	11662	55	d ɪ s e m b ə -
62267	Irish	December	Mí na Nollag	mʲiː_n̪ˠə_n̪ˠɔl̪ˠəɡ	mʲ iː + n̪ˠ ə + n̪ˠ ɔ l̪ˠ ə g		Celtic	473_december	8280	61	mʲ iː + n̪ˠ ə + n̪ˠ ɔ l̪ˠ ə g
63505	Welsh	December	Rhagfyr	r̥aɡvɪr	r̥ a g v ɪ r		Celtic	473_december	8433	76	r̥ a g v ɪ r
64622	Breton	December	Kerzu	kɛʀzy	k ɛ ʀ z y		Celtic	473_december	8174	50	k ɛ ʀ z y
65681	Latin	December	December	dɛkɛmbɛr	d ɛ k ɛ m b ɛ r		Italic	473_december	15831	55	d ɛ k - ɛ m b ɛ r - -
66836	French	December	décembre	deˈsɑ̃ːbʁə	d e s ɑ̃ː b ʁ ə		Italic	473_december	15831	55	d e s - ɑ̃ː - b - ʁ - ə
68026	Catalan	December	desembre	d̪əzɛmβɾə	d̪ ə z ɛ m β ɾ ə		Italic	473_december	15831	55	d̪ ə z - ɛ m β - ɾ - ə
69166	Spanish	December	diciembre	diθjembɾe	d i θ j e m b ɾ e		Italic	473_december	15831	55	d i θ j e m b - ɾ - e
70406	Portuguese	December	Dezembro	dəˈzẽbru	d ə z ẽ b r u		Italic	473_december	15831	55	d ə z - ẽ - b - r - u
71652	Italian	December	dicembre	dit͡ʃembre	d i tʃ e m b r e		Italic	473_december	15831	55	d i tʃ - e m b - r - e
72933	Romanian	December	decembrie	det͡ʃembrje	d e tʃ e m b r j e		Italic	473_december	15831	55	d e tʃ - e m b - r j e
41642	Bulgarian	February	февруари	fɛvruari	f ɛ v r u a r i		Balto-Slavic	463_february	5489	80	f ɛ v r u a r i -
42864	Croatian	February	veljača	ʋɛ̌ʎat͡ʃa	ʋ ɛ ʎ a tʃ a		Balto-Slavic	463_february	5413	77	ʋ ɛ ʎ a tʃ a -
42865	Croatian	February	februar	fɛ̂bruaːr	f ɛ b r u aː r		Balto-Slavic	463_february	5489	80	f ɛ b r u aː r - -
44082	Slovene	February	fébruar	fɛ˨ːbruar	f ɛː ² b r u a r		Balto-Slavic	463_february	2	100	f ɛː ² b r u a r
45223	Slovak	February	február	fɛbruaːr	f ɛ b r u aː r		Balto-Slavic	463_february	5489	80	f ɛ b r u aː r - -
46406	Czech	February	únor	uːnor	uː n o r		Balto-Slavic	463_february	5534	82	uː n o r
47533	Polish	February	luty	lutɨ	l u t ɨ		Balto-Slavic	463_february	5413	77	- - l u t ɨ -
48633	Ukrainian	February	лютий	lʲutɪj	lʲ u t ɪ j		Balto-Slavic	463_february	5413	77	- - lʲ u t ɪ j
49721	Belarusian	February	люты	lʲutɨ	lʲ u t ɨ		Balto-Slavic	463_february	5413	77	- - lʲ u t ɨ -
50779	Russian	February	февраль	fʲɪvraˑl	fʲ ɪ v r aˑ l		Balto-Slavic	463_february	5489	80	fʲ ɪ v r - aˑ l - -
51889	Lithuanian	February	vasaris	ʋɐsǎrʲɪs	ʋ ɐ s a rʲ ɪ s		Balto-Slavic	463_february	5758	93	ʋ ɐ s a rʲ ɪ s
53186	Latvian	February	februāris	fɛbruɑːris	f ɛ b r u ɑː r i s		Balto-Slavic	463_february	5489	80	f ɛ b r u ɑː r i s
54439	Icelandic	February	február	fɛprʏɑur̥	f ɛ p r ʏ ɑ u r̥		Germanic	463_february	12001	80	f ɛ p r ʏ ɑ u r̥ -
55594	Norwegian (Bokmål)	February	februar	fɛbrʉːˈaːr	f ɛ b r ʉː aː r		Germanic	463_february	12001	80	f ɛ b r ʉː aː - r -
56731	Swedish	February	februari	feːbrɵarɪ	f eː b r ɵ a r ɪ		Germanic	463_february	12001	80	f eː b r ɵ a - r ɪ
57863	Danish	February	februar	ˈfebʁuɑːˀʁ	f e b ʁ u ɑː ʔ ʁ		Germanic	463_february	12001	80	f e b ʁ u ɑː ʔ ʁ -
58931	German	February	Februar	fɛbʁuːaːɐ̯	f ɛ b ʁ uː aː ɐ		Germanic	463_february	12001	80	f ɛ b ʁ uː aː - - ɐ
60010	Dutch	February	februari	feˑbryˑˈu̯aːriˑ	f eˑ b r yˑ u aː r iˑ		Germanic	463_february	12001	80	f eˑ b r yˑ u aː r iˑ
61133	English	February	February	ˈfebɹʊəɹɪ	f e b ɹ ʊ ə ɹ ɪ		Germanic	463_february	12001	80	f e b ɹ ʊ ə - ɹ ɪ
62256	Irish	February	Feabhra	fʲaʊɾˠə	fʲ a ʊ ɾˠ ə		Celtic	463_february	8581	89	fʲ a ʊ ɾˠ ə
63495	Welsh	February	Chwefror	χwɛvrɔr	χ w ɛ v r ɔ r		Celtic	463_february	8480	80	χ w ɛ v r ɔ r
64612	Breton	February	C'hwevrer	hwɛvʀɛʀ	h w ɛ v ʀ ɛ ʀ		Celtic	463_february	8480	80	h w ɛ v ʀ ɛ ʀ
65671	Latin	February	Februarius	fɛbrʊaːrɪʊs	f ɛ b r ʊ aː r ɪ ʊ s		Italic	463_february	16173	80	f ɛ b r ʊ aː r ɪ - - ʊ s
66826	French	February	février	fevʁiˈe	f e v ʁ i e		Italic	463_february	16173	80	f e v ʁ - - - i - - e -
68016	Catalan	February	febrer	fəβɾɛ	f ə β ɾ ɛ		Italic	463_february	16173	80	f ə β ɾ - - - - - - ɛ -
69156	Spanish	February	febrero	feβɾeɾo	f e β ɾ e ɾ o		Italic	463_february	16173	80	f e β ɾ - e ɾ - - - o -
70396	Portuguese	February	Fevereiro	fəvəˈrejru	f ə v ə r e j r u		Italic	463_february	16173	80	f ə v - - ə r e j r u -
71642	Italian	February	febbraio	febːraio	f e bː r a i o		Italic	463_february	16173	80	f e bː r - a - i - - o -
72923	Romanian	February	februarie	febrwarje	f e b r w a r j e		Italic	463_february	16173	80	f e b r w a r - j - e -
41657	Bulgarian	Friday	петък	pɛtɤk	p ɛ t ɤ k		Balto-Slavic	478_friday	63	103	p ɛ - - t ɤ k
42891	Croatian	Friday	petak	pɛ̌ːtak	p ɛː t a k		Balto-Slavic	478_friday	63	103	p ɛː - - t a k
44097	Slovene	Friday	pétek	pɛ˨ːtɛk	p ɛː ² t ɛ k		Balto-Slavic	478_friday	497	124	p ɛː ² t ɛ k
45238	Slovak	Friday	piatok	pi̯atɔk	p i a t ɔ k		Balto-Slavic	478_friday	63	103	p i a - t ɔ k
46422	Czech	Friday	pátek	paːtɛk	p aː t ɛ k		Balto-Slavic	478_friday	63	103	p aː - - t ɛ k
47548	Polish	Friday	piątek	piɔntɛk	p i ɔ n t ɛ k		Balto-Slavic	478_friday	63	103	p i ɔ n t ɛ k
48648	Ukrainian	Friday	п’ятниця	pjɑtnɪt͡sʲɑ	p j ɑ t n ɪ tsʲ ɑ		Balto-Slavic	478_friday	28	101	p j ɑ t n ɪ tsʲ ɑ
49737	Belarusian	Friday	пятніца	pʲatnit͡sa	pʲ a t n i ts a		Balto-Slavic	478_friday	28	101	pʲ - a t n i ts a
50794	Russian	Friday	пятница	pʲaˑtnʲit͡sə	pʲ aˑ t nʲ i ts ə		Balto-Slavic	478_friday	28	101	pʲ - aˑ t nʲ i ts ə
51904	Lithuanian	Friday	penktadienis	pɛnktǎdiənʲɪs	p ɛ n k t a d i ə nʲ ɪ s		Balto-Slavic	478_friday	333	116	p ɛ n - k t a d i ə nʲ ɪ s
53201	Latvian	Friday	piektdiena	piɛ̯kddiɛ̯nɑ	p i ɛ k d d i ɛ n ɑ		Balto-Slavic	478_friday	333	116	p i - ɛ k d - d i ɛ n ɑ -
54454	Icelandic	Friday	föstudagur	fœstʏtɑɣʏr̥	f œ s t ʏ t ɑ ɣ ʏ r̥		Germanic	478_friday	8830	112	f œ s t ʏ t ɑ ɣ ʏ r̥
55609	Norwegian (Bokmål)	Friday	fredag	ˈfreːdaːɡ	f r eː d aː g		Germanic	478_friday	8776	107	f r eː - - d aː g
56746	Swedish	Friday	fredag	freːdaɡ	f r eː d a g		Germanic	478_friday	8776	107	f r eː - - d a g
57878	Danish	Friday	fredag	ˈfʁeːˀda	f ʁ eː ʔ d a		Germanic	478_friday	8776	107	f ʁ eː ʔ - d a -
58946	German	Friday	Freitag	fʁaɪ̯taːk	f ʁ a ɪ t aː k		Germanic	478_friday	8776	107	f ʁ a - ɪ t aː k
60025	Dutch	Friday	vrijdag	ˈv̥rɛi̯dɑx	v̥ r ɛ i d ɑ x		Germanic	478_friday	8776	107	v̥ r ɛ - i d ɑ x
61148	English	Friday	Friday	ˈfɹaɪdɪ	f ɹ a ɪ d ɪ		Germanic	478_friday	8776	107	f ɹ a - ɪ d ɪ -
62275	Irish	Friday	Aoine	iːnʲə	iː nʲ ə		Celtic	478_friday	6032	113	iː nʲ ə
62276	Irish	Friday	Dé hAoine	dʲeː_hiːnʲə	dʲ eː + h iː nʲ ə		Celtic	478_friday	6200	129	dʲ eː + h iː nʲ ə
63510	Welsh	Friday	dydd Gwener	dəð_ɡwɛnɛr	d ə ð + g w ɛ n ɛ r		Celtic	478_friday	5921	102	d ə ð + g w ɛ n ɛ r
64627	Breton	Friday	Gwener	ɡwẽːnɛʀ	g w ẽː n ɛ ʀ		Celtic	478_friday	5921	102	- - - - g w ẽː n ɛ ʀ
65686	Latin	Friday	dies Veneris	dɪeːs_wɛnɛrɪs	d ɪ eː s + w ɛ n ɛ r ɪ s		Italic	478_friday	12483	115	d ɪ eː s + w ɛ n ɛ r ɪ s
66841	French	Friday	vendredi	vɑ̃dʁəˈdi	v ɑ̃ d ʁ ə d i		Italic	478_friday	12275	101	v ɑ̃ d ʁ ə d i
68031	Catalan	Friday	divendres	d̪iβɛnðɾəs	d̪ i β ɛ n ð ɾ ə s		Italic	478_friday	12312	104	d̪ i β ɛ n ð ɾ ə s
69171	Spanish	Friday	viernes	bjeɾnes	b j e ɾ n e s		Italic	478_friday	12643	125	b j e ɾ n e s
70411	Portuguese	Friday	sexta-feira	ˈsejʃtɐˈfejrɐ	s e j ʃ t ɐ f e j r ɐ		Italic	478_friday	12565	120	s e j ʃ t ɐ f e j r ɐ
71657	Italian	Friday	venerdì	venerdi	v e n e r d i		Italic	478_friday	12464	114	v e n e r d i
72938	Romanian	Friday	vineri	vinerʲ	v i n e rʲ		Italic	478_friday	12464	114	v i n e rʲ - -
41857	Bulgarian	I	аз	as	a s		Balto-Slavic	640_i	661	132	a s
43112	Croatian	I	ja	jâː	j aː		Balto-Slavic	640_i	755	136	j aː - -
44279	Slovene	I	jàz	ja˦z	j a ⁴ z		Balto-Slavic	640_i	755	136	j a ⁴ z
45441	Slovak	I	ja	ja	j a		Balto-Slavic	640_i	755	136	j a - -
46612	Czech	I	já	jaː	j aː		Balto-Slavic	640_i	755	136	j aː - -
47730	Polish	I	ja	ja	j a		Balto-Slavic	640_i	755	136	j a - -
48828	Ukrainian	I	я	jɑ	j ɑ		Balto-Slavic	640_i	755	136	j ɑ - -
49912	Belarusian	I	я	ja	j a		Balto-Slavic	640_i	755	136	j a - -
50959	Russian	I	я	jaˑ	j aˑ		Balto-Slavic	640_i	755	136	j aˑ - -
52114	Lithuanian	I	aš	ɑ̂ʃ	ɑ ʃ		Balto-Slavic	640_i	661	132	ɑ ʃ
53401	Latvian	I	es	ɛs	ɛ s		Balto-Slavic	640_i	661	132	ɛ s
54654	Icelandic	I	ég	jɛɣ	j ɛ ɣ		Germanic	640_i	9144	136	j ɛ ɣ
55786	Norwegian (Bokmål)	I	jeg	jæj	j æ j		Germanic	640_i	9144	136	j æ j
56935	Swedish	I	jag	jɑːɡ	j ɑː g		Germanic	640_i	9144	136	j ɑː g
58055	Danish	I	jeg	ˈjɑj	j ɑ j		Germanic	640_i	9144	136	j ɑ j
59108	German	I	ich	ɪç	ɪ ç		Germanic	640_i	9093	132	ɪ ç
60231	Dutch	I	ik	ɪk	ɪ k		Germanic	640_i	9152	137	ɪ k
61310	English	I	I	aɪ	a ɪ		Germanic	640_i	9169	138	a ɪ
62499	Irish	I	mé	mʲeː	mʲ eː		Celtic	640_i	6218	131	mʲ - - eː
62500	Irish	I	mise	mʲɪʃə	mʲ ɪ ʃ ə		Celtic	640_i	6218	131	mʲ ɪ ʃ ə
63706	Welsh	I	fi	vɪ	v ɪ		Celtic	640_i	6478	157	v ɪ
64798	Breton	I	me	meː	m eː		Celtic	640_i	6218	131	m - - eː
65860	Latin	I	ego	ɛɡoː	ɛ g oː		Italic	640_i	12839	137	ɛ g oː
67048	French	I	je	ʒə	ʒ ə		Italic	640_i	12768	133	ʒ ə
67049	French	I	moi	mwa	m w a		Italic	640_i	13184	158	m w a
68206	Catalan	I	jo	ʒɔ	ʒ ɔ		Italic	640_i	12768	133	ʒ ɔ
69368	Spanish	I	yo	ʝo	ʝ o		Italic	640_i	12768	133	ʝ o
70613	Portuguese	I	eu	ew	e w		Italic	640_i	13032	149	- e w
71863	Italian	I	ìo	io	i o		Italic	640_i	12856	138	i o
73159	Romanian	I	eu	jew	j e w		Italic	640_i	13032	149	j e w
41641	Bulgarian	January	януари	januari	j a n u a r i		Balto-Slavic	462_january	1372	165	j a n u a r i
42862	Croatian	January	januar	jânuaːr	j a n u aː r		Balto-Slavic	462_january	1372	165	j a n u aː r -
42863	Croatian	January	siječanj	sǐjɛt͡ʃaɲ	s i j ɛ tʃ a ɲ		Balto-Slavic	462_january	1233	159	s i j ɛ tʃ - a ɲ
44081	Slovene	January	jánuar	ja˨ːnuar	j aː ² n u a r		Balto-Slavic	462_january	1732	182	j aː ² n u a r
45222	Slovak	January	január	januaːr	j a n u aː r		Balto-Slavic	462_january	1372	165	j a n u aː r -
46405	Czech	January	leden	lɛdɛn	l ɛ d ɛ n		Balto-Slavic	462_january	1350	164	l ɛ d ɛ n
47532	Polish	January	styczeń	stɨʈ͡ʂɛɲ	s t ɨ ʈʂ ɛ ɲ		Balto-Slavic	462_january	1233	159	s - t ɨ ʈʂ - ɛ ɲ
48632	Ukrainian	January	січень	sʲiʈ͡ʂɛnʲ	sʲ i ʈʂ ɛ nʲ		Balto-Slavic	462_january	1233	159	sʲ i - - ʈʂ - ɛ nʲ
49720	Belarusian	January	студзень	studzʲɛnʲ	s t u d zʲ ɛ nʲ		Balto-Slavic	462_january	1233	159	s - t u d zʲ ɛ nʲ
50778	Russian	January	январь	jɐnvaˑrʲ	j ɐ n v aˑ rʲ		Balto-Slavic	462_january	1257	160	j ɐ n v aˑ rʲ - -
51888	Lithuanian	January	sausis	sɒʊ̯ˑsʲɪs	s ɒ ʊˑ sʲ ɪ s		Balto-Slavic	462_january	1581	175	s ɒ ʊˑ sʲ ɪ s
53185	Latvian	January	janvāris	jɑnvɑːris	j ɑ n v ɑː r i s		Balto-Slavic	462_january	1257	160	j ɑ n v ɑː r i s
54438	Icelandic	January	janúar	jɑnuɑr̥	j ɑ n u ɑ r̥		Germanic	462_january	9538	165	j ɑ n u ɑ - r̥ -
55593	Norwegian (Bokmål)	January	januar	jɑnʉˈaːr	j ɑ n ʉ aː r		Germanic	462_january	9538	165	j ɑ n ʉ aː - r -
56730	Swedish	January	januari	jɑːnɵarɪ	j ɑː n ɵ a r ɪ		Germanic	462_january	9538	165	j ɑː n ɵ a - r ɪ
57862	Danish	January	januar	jaːnuːaːɐ̯	j aː n uː aː ɐ		Germanic	462_january	9538	165	j aː n uː aː ɐ - -
58930	German	January	Januar	jaːnuːaːɐ̯	j aː n uː aː ɐ		Germanic	462_january	9538	165	j aː n uː aː ɐ - -
60009	Dutch	January	januari	jaːnʏaːrɪ	j aː n ʏ aː r ɪ		Germanic	462_january	9538	165	j aː n ʏ aː - r ɪ
61132	English	January	January	ˈd͡ʒænʊəɹɪ	dʒ æ n ʊ ə ɹ ɪ		Germanic	462_january	9573	167	dʒ æ n ʊ ə ɹ ɪ
62255	Irish	January	Eanáir	an̪ˠaːɾʲ	a n̪ˠ aː ɾʲ		Celtic	462_january	6554	165	a - n̪ˠ aː ɾʲ
63494	Welsh	January	Ionawr	ɪɔna͡ʊr	ɪ ɔ n aʊ r		Celtic	462_january	6554	165	ɪ ɔ n aʊ r
64611	Breton	January	Genver	ɡɛ̃nvɛʀ	g ɛ̃ n v ɛ ʀ		Celtic	462_january	6509	160	g ɛ̃ n v ɛ ʀ
65670	Latin	January	Ianuarius	ɪaːnʊaːrɪʊs	ɪ aː n ʊ aː r ɪ ʊ s		Italic	462_january	13419	173	ɪ aː n ʊ aː r ɪ ʊ s
66825	French	January	janvier	ʒɑ̃ˈvje	ʒ ɑ̃ v j e		Italic	462_january	13334	168	ʒ ɑ̃ v j e
68015	Catalan	January	gener	ʒənɛ	ʒ ə n ɛ		Italic	462_january	13239	162	ʒ ə n ɛ - - -
69155	Spanish	January	enero	eneɾo	e n e ɾ o		Italic	462_january	13285	165	e n e ɾ o
70395	Portuguese	January	Janeiro	ʒɐˈnejru	ʒ ɐ n e j r u		Italic	462_january	13239	162	ʒ ɐ n e j r u
71641	Italian	January	gennaio	d͡ʒenːaio	dʒ e nː a i o		Italic	462_january	13317	167	dʒ e nː a i o
72922	Romanian	January	ianuarie	janwarje	j a n w a r j e		Italic	462_january	13207	160	j a n w a r j e
41647	Bulgarian	July	юли	juli	j u l i		Balto-Slavic	468_july	1794	185	j u l i - -
